region,Child.mortality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,MPI.A,MPI.H,p20,ext,np20,weights,MPI,share.of.pop
province 1,0.021372023623413,0.0735788468259634,0.0298969461019661,0.193628719436151,0.0870741593642449,0.0518578538430689,0.277681753703138,0.705886509864323,0.221486806957323,0.737563822050634,0.168554721970875,0.0937114561152884,0.266919989373961,0.0581473197731064,0.202763041393382,80079.73262,0.0157955084309983,0.17112233041472
province 2,0.0385788354478182,0.1532647194162,0.130462159122973,0.357960265881858,0.0856116338257765,0.0322812695463548,0.575187474110018,0.745871313288839,0.115867911094725,0.862028474044979,0.248676989219864,0.232233925395454,0.0787188193735315,0.00639819617052714,0.0388943469066872,100757.21388,0.057751233362052,0.215308027151602
province 3,0.0133905549579287,0.0591509166470172,0.0160896106294393,0.188523910385775,0.0186927327254109,0.133082607826361,0.350190247955625,0.412321890220729,0.196738087139347,0.399182057317963,0.131243491159482,0.0740322427924062,0.221348238721839,0.0472594519520144,0.172086964628273,93315.92259,0.00971625000244182,0.19940673646071
province 4,0.012990787071332,0.0585373845039063,0.015589663363836,0.176009097556043,0.0433971343147702,0.0901661172306937,0.299556804095741,0.574679905426296,0.228623998629762,0.627276904573979,0.146289793269737,0.0671297123336548,0.28542606414297,0.059999593704516,0.220205713045869,43202.05538,0.0098203917395473,0.0923184450479175
province 5,0.0295590946240647,0.118452615116986,0.050761706434388,0.217305700427712,0.113031843210502,0.0715779410823996,0.269418474157269,0.646414730235877,0.137751323297917,0.67674313277154,0.176738562602672,0.114384909027806,0.209547405203309,0.0499007198662497,0.157976287195075,80190.21731,0.0202162244050118,0.171358425079492
province 6,0.0396547197399157,0.133767324984607,0.0286633740530634,0.230080118863791,0.326467866207962,0.246403537530515,0.220707606718203,0.91011837678352,0.58688977245006,0.923585799958038,0.250868181916851,0.218783473274632,0.748512595487503,0.386613913942646,0.690869037357361,28166.7224,0.0548858121738608,0.0601894514321681
province 7,0.0275015049286552,0.0954068195894274,0.0401968984214835,0.199670926347408,0.139804908805873,0.0757754856223617,0.26459045148305,0.80837303797588,0.314221687268789,0.840527549842295,0.195030965945867,0.116656238434808,0.443944650291094,0.134152965819217,0.371312173859371,42255.8898,0.0227515788655521,0.0902965844133909
