region,educ.per.cap.ave,School.attendance,health.per.cap.ave,Child.mortality,MPI.of.the.region,need.vs.resources,MPI.pop.2016,Country
ABIM,10.1916539024776,0.443042962903362,6.43064610524074,0.0680919208729428,0.285164864379245,,105627.703378655,Uganda
ADJUMANI,9.65298058082584,0.148990250649323,8.1612755426817,0.0339542523044885,0.138750659073436,,291599.588206367,Uganda
AGAGO,11.7051640022457,0.268721701898024,3.76178032829556,0.0722057317138714,0.229540180934685,,411868.516534654,Uganda
ALEBTONG,9.56131735834381,0.180643937303031,3.19401647760874,0.0377334795777771,0.183706979950019,,219064.177965693,Uganda
AMOLATAR,10.282847831206,0.143211313720499,3.70574035124401,0.0471606455728056,0.166343411384497,,150593.505012848,Uganda
AMUDAT,5.04519343976663,0.652088685215371,2.00204293146008,0.0827958428239357,0.579088067449111,,65409.2689325577,Uganda
AMURIA,9.94239775519696,0.153877549331728,3.67772803446489,0.0589258461686272,0.14300531089545,,402002.92705035,Uganda
AMURU,9.11680813945499,0.204384418784566,4.0741783899706,0.085234280243993,0.253024984647626,,189173.330171532,Uganda
APAC,11.9632275042859,0.180701024985526,5.37856004765706,0.0886306312274488,0.1749917022846,,407972.612291428,Uganda
ARUA,11.4030761516241,0.207189226392257,6.2581606738912,0.0773332907433801,0.176539532517525,,867546.370782495,Uganda
BUDAKA,11.4657501912926,0.0970880091156363,3.30491799815858,0.0524622386288014,0.192672247040802,,247301.895410423,Uganda
BUDUDA,9.21084924690664,0.0334440431404155,4.48200186921057,0.053499067772194,0.142016083698163,,112196.473095101,Uganda
BUGIRI,9.59512174646364,0.0706910577087192,3.23321942207632,0.0610837958808063,0.102876293832783,,233487.433601689,Uganda
BUHWEJU,9.49466103200019,0.0652827343271879,4.45871456208731,0.0454041114218733,0.162104933391577,,151637.812891135,Uganda
BUIKWE,8.8924228892591,0.0674490577211951,3.25163443377897,0.0186016384919005,0.0241385283460977,,441243.3766782,Uganda
BUKEDEA,12.9282365515658,0.0702079078585654,2.61276165969853,0.0565654813842995,0.113510949886654,,341724.449072083,Uganda
BUKOMANSIMBI,13.3148180053664,0.105626962557214,2.65095288525904,0.0633900534896939,0.0841213777611941,,144233.364856618,Uganda
BUKWO,18.4336645973291,0.166666666666667,8.16761056848981,0.0952380952380952,0.153037603930461,,32013.3243148671,Uganda
BULAMBULI,8.76203956446879,0.0871646178482614,4.63314639189274,0.138326813514573,0.176768478447058,,145574.543468624,Uganda
BULIISA,6.77220888579984,0.168201384340044,8.36773822455248,0.0883518691972506,0.314270712848004,,82839.4049600614,Uganda
BUNDIBUGYO,12.8047549914243,0.118981561918413,7.124129470295,0.195187670207015,0.218304496182701,,177629.011023541,Uganda
BUSHENYI,16.7083348536518,0.0408491133777782,4.33204278213731,0.0458996620044932,0.0981091031196645,,264784.057505023,Uganda
BUSIA,11.7396918985324,0.087860662122052,3.79732673016214,0.0793972901249516,0.102847898233138,,447730.276636824,Uganda
BUTALEJA,13.3837921004437,0.0706200718342127,4.19007527184422,0.0757393809617552,0.104684166720741,,324961.963580722,Uganda
BUTAMBALA,21.3299346507689,0,8.67952495685616,0.054421768707483,0.00663303870300955,,105102.049803967,Uganda
BUVUMA,5.99086980877543,0.0699261891862726,4.92823582202048,0.0789384848276207,0.121581411533894,,81037.3024019892,Uganda
BUYENDE,6.3592142029205,0.0605041625074962,1.33765489133959,0.121648323199917,0.22225772622389,,530896.506438873,Uganda
DOKOLO,9.97379113431128,0.123133764738899,4.33422338816574,0.016407295656127,0.106152179352628,,212286.705231335,Uganda
GOMBA,11.691879218965,0.129881750157786,4.19613662955262,0.107990956104716,0.212544356702068,,110103.532112392,Uganda
GULU,15.7745165000096,0.11900234820707,8.6536212774874,0.0503902935400694,0.101532328702379,,696957.49596433,Uganda
HOIMA,7.26735411057133,0.197482840408379,6.05791323486124,0.0703380370595825,0.123822728217103,,582241.835979211,Uganda
IBANDA,12.3123756283723,0.100648976200033,3.7811781665314,0.045696163849346,0.104438531971565,,254733.021524742,Uganda
IGANGA,12.5723675516136,0.115571382888792,3.70053235305068,0.0778593593697577,0.0887607907227496,,569720.458781144,Uganda
ISINGIRO,7.3817337604823,0.22322344010723,2.42348688902441,0.0485751592288588,0.196454889720814,,531018.066914744,Uganda
JINJA,13.3020761197846,0.0209771974324683,10.9732622840689,0.0305698537872092,0.0224506048561098,,602570.640895211,Uganda
KAABONG,8.53072036099091,0.67255047558309,6.18599669781702,0.123715721649998,0.57077216260355,,176027.774609753,Uganda
