region,Education.spending..US...per.capita_16,Health.Spending..US...per.capita_16,Education.spending..US...per.capita_17,Health.Spending..US...per.capita_17,Education.spending..US...per.capita_18,Health.Spending..US...per.capita_18,Child.mortality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,MPI.A,MPI.H,p20,ext,np20,weights,MPI.of.the.region,share.of.pop,Population.size.by...region,MPI.pop.2016
NYAGATARE,39.60799394,2.403809608,40.48261727,3.394949194,43.66814886,9.154290138,0.044290535,0.201928594,0.146240491,0.402006867,0.801433654,0.749343088,0.23561705,0.805796451,0.444475347,0.994798721,0.356135345,0.499089378,0.915432525,0.468211716,0.14024626,25419.32835,0.177743368,0.046999116,560.112346,560112.346
NYAMAGABE,54.00967901,5.310258501,53.81167733,4.858355958,58.24917658,6.024220778,0.030186944,0.213091082,0.135593671,0.442998312,0.923053564,0.692011214,0.233405412,0.904057465,0.578261233,0.997499122,0.377286437,0.551365415,0.931304312,0.601011304,0.252726519,16892.06804,0.208022693,0.031232622,372.2150219,372215.0219
NYAMASHEKE,51.08029615,7.11437507,50.52225278,6.639199415,44.83252792,8.669168645,0.019168848,0.18901315,0.073866972,0.400343574,0.785882296,0.570106507,0.284160244,0.912089685,0.62680093,0.996098096,0.345005237,0.427986272,0.980860859,0.647002469,0.302949148,18360.39462,0.147657506,0.033947487,404.5694506,404569.4506
NYANZA,44.11409719,4.272076893,48.04006336,4.689530544,50.59585637,4.30230249,0.047635933,0.231008666,0.109624102,0.423966596,0.928292657,0.657971235,0.351378962,0.8752463,0.569409835,0.998725686,0.379199898,0.542512639,0.94646502,0.665944802,0.336787296,15758.60602,0.205720737,0.029136905,347.2393002,347239.3002
NYARUGENGE,55.82689248,5.193175547,48.03902317,5.065183593,51.29550279,22.13419207,0.033912942,0.206867117,0.085524252,0.173208719,0.238829712,0.35137657,0.694200589,0.451619318,0.244892737,0.980326631,0.247720945,0.210886782,0.341453149,0.126103458,0.047127323,15698.08321,0.052241073,0.029025001,345.9056862,345905.6862
NYARUGURU,49.72797184,4.277561587,51.10610638,4.067381204,56.23286861,5.36791342,0.040821636,0.318963233,0.156097173,0.462084495,0.954048244,0.796947601,0.638941202,0.929163385,0.645506631,0.998550322,0.439612237,0.619420814,0.974932174,0.704182194,0.227374014,13919.81824,0.27230497,0.025737075,306.7217962,306721.7962
RUBAVU,44.28614227,3.455433575,45.08751903,3.052524161,47.28541879,4.023844959,0.050960652,0.231527645,0.161721699,0.413291794,0.679135928,0.454364469,0.4272657,0.76839321,0.550690553,0.994132455,0.358665581,0.466655116,0.772230819,0.552647505,0.239646476,21324.23205,0.167373129,0.03942748,469.8773105,469877.3105
RUHANGO,45.31903602,5.688240121,50.73983991,5.669726812,52.69282239,6.046851052,0.036663854,0.277442453,0.085620188,0.398364539,0.880505908,0.862366684,0.680913255,0.765462828,0.591113111,0.997711618,0.398462925,0.569386176,0.959129869,0.57479702,0.259522897,16931.57052,0.226879282,0.03130566,373.0854551,373085.4551
RULINDO,56.45150549,5.625009789,57.65011639,5.315573099,63.07784378,5.6379702,0.038495007,0.203032662,0.108304633,0.367156127,0.862297494,0.580749574,0.310727807,0.837297713,0.486018032,0.994032429,0.34457788,0.459256025,0.961924943,0.5524114,0.172087791,14799.7206,0.158249467,0.027363972,326.1103563,326110.3563
RUSIZI,48.53362481,4.441048073,47.89172696,3.926252441,50.57923017,3.835868273,0.044611326,0.253091822,0.101252578,0.303818472,0.651808113,0.501226781,0.525697284,0.914364509,0.508990448,0.994807932,0.345186188,0.445912983,0.913566697,0.557313516,0.209572646,21611.64765,0.153923003,0.039958898,476.2104844,476210.4844
RUTSIRO,45.65107315,3.346616013,44.54807608,3.087684594,46.76719433,3.363352917,0.044512439,0.223711696,0.062377267,0.521034393,0.928707297,0.779909253,0.351363304,0.928978589,0.602878261,0.999808963,0.397030725,0.612857568,0.972913832,0.707837802,0.275715126,15336.78164,0.243323284,0.028356972,337.9444424,337944.4424
RWAMAGANA,50.03222193,4.033051264,45.15484482,4.13400702,49.78233806,4.571249293,0.038213176,0.211541943,0.102951192,0.326087944,0.69656444,0.621715268,0.250933816,0.757653785,0.418124381,0.987759709,0.320348733,0.391160188,0.909988926,0.450931594,0.137621969,17692.19915,0.125307671,0.032712026,389.8458305,389845.8305
