shregion,Child.mortality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,MPI.A,MPI.H,p20,ext,np20,weights,MPI,share.of.pop
nandi,0.0349633460169659,0.240917930352491,0.0284974684387432,0.0505114340228522,0.892456422916029,0.498119248276792,0.797063136834278,0.992307035060884,0.277598991044757,0.969870142291438,0.305115861828741,0.287522772270323,0.621816676242654,0.314273628039971,0.0916579185457729,30082.3651,0.0877277584566483,0.0210797014126245
laikipia,0.0223734107751823,0.235532425604759,0.0541625291123907,0.157784106687337,0.755718084262174,0.516571492081003,0.845719762355312,0.982681565867886,0.21241897731145,0.906546800226837,0.31274971702037,0.296465314760033,0.63632004779686,0.338651821673256,0.201761759844187,15071.38336,0.0927194432975552,0.0105610134059572
nakuru,0.0612923039767606,0.18159373230843,0.0105961454451149,0.0523673038842576,0.55598525116191,0.419609060929021,0.733581746196292,0.974458028194715,0.164858287558089,0.830567064364108,0.254113273007235,0.193691159224879,0.418654663205799,0.223449530173112,0.0841533589103262,65346.40484,0.0492194944231995,0.0457903724602984
narok,0.0443753675979665,0.352278788982483,0.0727698725351637,0.182427193623273,0.880123782144725,0.797662107463834,0.68053669183171,0.997707931872549,0.31855814075152,0.965996760229923,0.366007559495226,0.473000917566278,0.766200302498454,0.648701215480294,0.48318220208208,34611.64136,0.173121911477436,0.0242535140719253
kajiado,0.0238060646601728,0.177308482087916,0.0638440605446908,0.179911225800325,0.464688675419226,0.366792773735802,0.712026287272857,0.940533769154308,0.212852266427801,0.603181821238694,0.253685680371046,0.25188072017631,0.416178131171507,0.326676939945836,0.278418073006789,26994.28898,0.0638985318702762,0.0189157850339534
kericho,0.0307771933932397,0.229797742987809,0.0123334056970804,0.0467513721212932,0.808138360637066,0.584671896790633,0.433432378270761,0.99592385955979,0.320558564258263,0.965168075563531,0.281924073579233,0.262449424303017,0.706921847799806,0.506923181208882,0.243058992623103,26136.0153,0.0739908108080313,0.0183143644726188
bomet,0.042354063061406,0.325832915855502,0.0182995135915631,0.0323222195808593,0.929040004159376,0.640268694476018,0.90795065543348,0.995515414031212,0.291321837219236,0.978830918051324,0.333532013760582,0.370380736231383,0.773881531265674,0.507368611464075,0.255944640049341,33540.22209,0.12353383281338,0.0235027353939772
kakamega,0.0373481871909674,0.250177435762586,0.023598126042735,0.0767685815552277,0.90474712349576,0.425044823096104,0.832864001720913,0.996031779750527,0.214629477906255,0.966730411227009,0.306046342313818,0.317793301737082,0.673249534190566,0.312756774496563,0.0771263578644446,56940.38279,0.0972594776084655,0.0398999966772475
vihiga,0.0496542031574115,0.17025177272201,0.0212645566952598,0.0866817404713734,0.86164259054325,0.363805918899864,0.854592298693929,0.996950157720335,0.22988888629975,0.982872014779137,0.293302646080353,0.263240761832843,0.691564424442539,0.352223062244008,0.0948860767907306,19714.8326,0.0772092120017809,0.0138148308228556
bungoma,0.0427913455861322,0.235643671242767,0.0581312982724645,0.0437304174210212,0.938094892539212,0.580883767752584,0.898813345376938,0.9945705664525,0.278544380330688,0.980371909627187,0.32224425762328,0.325278676506084,0.758854745880848,0.436879356453828,0.139121716262185,61384.29858,0.104819185631386,0.0430139944511807
busia,0.0506654335773966,0.230272365764631,0.0394291845908432,0.127486372140286,0.936902097855209,0.569814217066468,0.897947050522981,0.998319790353915,0.283572078864261,0.969009658938093,0.33362445179607,0.368422658312569,0.782859952419296,0.477031159613098,0.199110976183646,28879.25332,0.122914807408781,0.020236641466902
